iter	MAE
0	1081.549777
1	1073.529422
2	1065.64609
3	1057.439679
4	1049.677084
5	1041.767064
6	1034.018926
7	1026.090621
8	1018.454698
9	1011.131986
10	1003.611016
11	996.4232824
12	989.3254005
13	982.0890869
14	974.9947796
15	967.8294624
16	960.9802864
17	953.7508736
18	947.4747979
19	940.9610143
20	934.1750742
21	928.0373727
22	921.6001398
23	915.7224685
24	909.4600833
25	902.755343
26	896.365166
27	890.6305498
28	884.1577332
29	877.6778423
30	871.6056522
31	866.0625381
32	860.371944
33	854.785779
34	848.6613653
35	842.875862
36	837.8543124
37	831.9213266
38	826.4257623
39	820.9940584
40	815.3635378
41	810.0391806
42	805.0368735
43	799.7188666
44	794.5169831
45	789.3731299
46	784.1993573
47	780.1620957
48	775.0867021
49	770.0817701
50	765.5795047
51	760.7203268
52	756.0749725
53	751.3883567
54	746.7135186
55	742.0618121
56	737.3734432
57	732.9281134
58	728.3838192
59	724.5136476
60	720.0436115
61	715.544491
62	711.2471141
63	706.967129
64	702.9078345
65	698.6881016
66	694.6160386
67	690.614855
68	686.5826361
69	682.6917539
70	679.6231065
71	675.8776614
72	672.0674855
73	668.291715
74	664.6524956
75	660.8952773
76	657.2473433
77	653.6674832
78	650.0591325
79	646.5589208
80	643.0392948
81	639.6219352
82	636.2914155
83	632.918153
84	629.7304752
85	626.4076034
86	623.1852527
87	620.0158039
88	616.7578585
89	613.6364909
90	610.470493
91	607.430567
92	604.3329263
93	601.2966299
94	598.3035152
95	595.3774276
96	592.5245506
97	589.5756086
98	586.7836131
99	584.3561055
100	581.6125989
101	578.8383228
102	576.1467244
103	573.4034135
104	570.8038285
105	568.1642113
106	565.54514
107	562.9622174
108	560.4697465
109	557.9508424
110	555.5746232
111	553.1267998
112	550.7172368
113	548.4388244
114	546.1520054
115	543.8781114
116	541.6925414
117	539.5045566
118	537.2568204
119	534.9990908
120	532.9075001
121	530.7552247
122	528.7829158
123	526.7711645
124	524.7690293
125	522.7560468
126	520.7552909
127	519.0614522
128	517.1585245
129	515.246511
130	513.2934306
131	511.5630207
132	509.6437299
133	507.7868779
134	506.0328133
135	504.2337136
136	502.4557971
137	500.681591
138	498.9208189
139	497.122415
140	495.3717639
141	493.6675371
142	492.0187016
143	490.3441204
144	488.6248763
145	487.0069372
146	485.3416319
147	483.6738333
148	482.1206783
149	480.6348349
150	479.1388364
151	477.6273185
152	476.138865
153	474.6499416
154	473.1625445
155	471.7493314
156	470.2990258
157	468.8220265
158	467.478767
159	466.0027353
160	464.6755384
161	463.2831927
162	461.9364724
163	460.589192
164	459.254534
165	457.9633291
166	456.7017888
167	455.4733064
168	454.0880602
169	452.8868351
170	451.5987809
171	450.318125
172	449.116583
173	447.8270116
174	446.5399856
175	445.405953
176	444.3099034
177	443.2008023
178	442.1192349
179	441.0996298
180	440.0341717
181	438.987361
182	437.9051393
183	436.8690444
184	435.9516739
185	434.830434
186	433.8124705
187	432.7484967
188	431.7710779
189	430.9166057
190	429.9495296
191	428.9459372
192	428.0249646
193	427.0696248
194	426.0586041
195	425.1137892
196	424.2054653
197	423.2378819
198	422.3813496
199	421.4627254
200	420.6419122
201	419.766216
202	418.8765078
203	417.9686048
204	417.2147967
205	416.469782
206	415.6002519
207	414.7298678
208	413.9223176
209	413.1229885
210	412.3849541
211	411.6114841
212	410.770982
213	409.9882846
214	409.2082223
215	408.3834192
216	407.6349867
217	406.9510983
218	406.1604237
219	405.3670229
220	404.6560114
221	403.9367339
222	403.1628609
223	402.5043175
224	401.8749528
225	401.1390453
226	400.5213748
227	399.8028302
228	399.1317821
229	398.4466988
230	397.8647519
231	397.2937122
232	396.6896366
233	396.0839264
234	395.5196279
235	394.8674541
236	394.2141114
237	393.586372
238	393.1017122
239	392.5191032
240	391.9752466
241	391.3810269
242	390.8771007
243	390.3796299
244	389.8310526
245	389.1876021
246	388.6882471
247	388.1369273
248	387.5717794
249	387.1468543
250	386.5529029
251	385.9968512
252	385.4094819
253	384.9207685
254	384.3811953
255	383.9343829
256	383.3758599
257	382.8962076
258	382.4421132
259	381.9838602
260	381.5481973
261	381.0622731
262	380.5336547
263	380.0397202
264	379.5731023
265	379.0721504
266	378.5843826
267	378.1268228
268	377.6722656
269	377.2382681
270	376.8107801
271	376.3274725
272	375.9182819
273	375.4976959
274	375.1104102
275	374.6403756
276	374.1935396
277	373.8053634
278	373.3750118
279	372.9500251
280	372.5620362
281	372.2454181
282	371.8387938
283	371.4223253
284	371.0252437
285	370.6241639
286	370.2897268
287	369.8949779
288	369.4915814
289	369.1102745
290	368.7160088
291	368.3514785
292	368.0509825
293	367.6934535
294	367.3875941
295	367.0076549
296	366.6526793
297	366.3333234
298	365.9862246
299	365.6725446
300	365.4048999
301	365.0766553
302	364.7578348
303	364.4234744
304	364.0955533
305	363.8011704
306	363.5227206
307	363.2282688
308	362.9180801
309	362.6015721
310	362.2859844
311	361.9790879
312	361.680038
313	361.4033955
314	361.1233376
315	360.8661734
316	360.5753914
317	360.3014323
318	360.0258062
319	359.7838629
320	359.5274924
321	359.2668938
322	359.0467739
323	358.7715502
324	358.5268349
325	358.28506
326	358.0440457
327	357.8009338
328	357.5618813
329	357.3308095
330	357.0771462
331	356.8504756
332	356.5984573
333	356.3868689
334	356.1692552
335	355.9387384
336	355.7381266
337	355.5240238
338	355.298331
339	355.0820388
