iter	Passed	Remaining
0	542	542407
1	565	282046
2	1084	360462
3	1630	405877
4	2154	428665
5	2223	368441
6	2238	317587
7	2758	342016
8	2773	305360
9	3312	327945
10	3349	301119
11	3836	315894
12	3901	296197
13	4421	311428
14	4914	322743
15	4954	304693
16	4990	288542
17	5473	298629
18	5958	307624
19	6508	318912
20	7039	328179
21	7320	325450
22	7973	338717
23	7998	325282
24	8130	317091
25	8702	326011
26	9508	342656
27	10145	352207
28	10796	361491
29	11426	369451
30	12059	376946
31	12669	383248
32	13310	390049
33	13920	395507
34	14211	391834
35	14876	398365
36	15528	404155
37	16192	409936
38	16210	399439
39	16844	404258
40	17438	407900
41	18090	412632
42	18685	415866
43	19278	418865
44	19954	423483
45	20558	426360
46	20571	417114
47	21117	418831
48	21758	422290
49	22395	425521
50	23080	429471
51	23764	433252
52	24444	436779
53	25071	439218
54	25665	440983
55	26282	443041
56	26887	444823
57	27486	446416
58	28202	449799
59	28520	446817
60	29269	450562
61	30001	453890
62	30781	457808
63	31643	462790
64	32417	466312
65	33123	468748
66	34047	474130
67	35098	481051
68	35819	483303
69	36660	487056
70	37760	494082
71	37803	487242
72	38874	493654
73	40475	506488
74	41391	510490
75	42166	512653
76	42882	514033
77	43596	515337
78	44327	516783
79	45041	517972
80	45136	512100
81	45755	512239
82	46424	512902
83	47108	513711
84	47735	513855
85	48376	514138
86	49012	514345
87	49607	514118
88	49652	508239
89	50213	507710
90	50219	501646
91	50848	501854
92	50867	496092
93	50910	490687
94	51481	490427
95	51500	484959
96	52098	485001
97	52728	485315
98	53331	485369
99	53923	485308
100	54519	485274
101	55162	485643
102	55748	485495
103	56285	484917
104	56932	485278
105	57554	485411
106	58202	485742
107	58762	485333
108	59355	485188
109	59943	484993
110	60525	484749
111	60662	480970
112	61313	481280
113	61944	481427
114	62590	481676
115	63242	481950
116	63833	481750
117	64444	481696
118	65063	481686
119	65662	481523
120	66238	481184
121	66857	481155
122	67454	480958
123	68075	480921
124	68696	480874
125	69268	480479
126	69851	480159
127	70429	479798
128	71038	479647
129	71675	479671
130	72223	479097
131	72820	478850
132	73415	478583
133	73993	478195
134	74000	474152
135	74006	470161
136	74640	470181
137	75269	470161
138	75851	469840
139	76140	467719
140	76838	468113
141	77584	468785
142	78271	469079
143	78904	469044
144	79553	469088
145	80171	468945
146	80762	468641
147	81358	468358
148	81400	464911
149	82076	465097
150	82703	465003
151	83312	464793
152	83936	464666
153	84558	464522
154	85143	464168
155	85703	463679
156	86300	463383
157	86915	463182
158	87573	463202
159	88198	463040
160	88788	462694
161	89388	462393
162	89987	462084
163	90551	461594
164	91133	461188
165	91728	460855
166	92325	460519
167	92473	457964
168	93149	458030
169	93785	457892
170	93791	454694
171	94528	455055
172	95233	455249
173	95931	455398
174	96576	455290
175	97253	455325
176	97904	455227
177	97918	452184
178	98656	452496
179	99347	452582
180	100005	452509
181	100721	452693
182	101442	452885
183	102087	452737
184	102346	450876
185	102963	450604
186	103568	450273
187	104223	450156
188	104838	449864
189	105474	449655
190	106150	449609
191	106345	447535
192	107076	447724
193	107787	447819
194	108498	447904
195	109153	447753
196	109889	447924
197	109941	445320
198	110610	445220
199	111288	445153
200	111994	445192
201	112673	445115
202	113408	445254
203	114161	445451
204	114833	445329
205	115559	445408
206	116281	445466
207	116891	445084
208	117443	444485
209	118093	444257
210	118700	443861
211	119330	443549
212	119354	440995
213	119934	440505
214	120549	440146
215	120554	437568
216	121132	437080
217	121749	436736
218	122320	436222
219	122337	433740
220	122971	433462
221	122978	430977
222	123586	430612
223	123589	428150
224	124231	427907
225	124830	427516
226	125458	427220
227	126042	426775
228	126679	426506
229	127290	426145
230	127885	425730
231	128514	425426
232	129059	424843
233	129682	424515
234	130252	424013
235	130880	423696
236	131488	423314
237	132116	422994
238	132121	420686
239	132742	420351
240	133385	420082
241	134011	419753
242	134610	419343
243	135243	419033
244	135838	418603
245	136414	418114
246	137055	417824
247	137663	417432
248	138303	417132
249	138927	416782
250	139529	416363
251	140148	415996
252	140779	415661
253	141515	415630
254	142163	415340
255	142827	415093
256	143505	414880
257	144254	414870
258	144872	414480
259	145513	414154
260	146137	413775
261	146762	413398
262	147359	412943
263	147961	412499
264	148584	412110
265	149267	411888
266	149837	411351
267	150477	411005
268	151057	410494
269	151676	410087
270	152248	409553
271	152879	409176
272	153488	408739
273	154089	408281
274	154711	407876
275	155462	407806
276	156195	407688
277	156905	407501
278	157578	407219
279	158338	407156
280	159033	406923
281	159715	406650
282	160330	406208
283	160961	405805
284	161632	405499
285	162140	404784
286	162738	404295
287	163487	404176
288	164221	404019
289	164978	403913
290	165737	403806
291	166523	403763
292	167212	403477
293	167910	403214
294	168680	403116
295	169427	402961
296	170138	402718
297	170858	402492
298	171580	402268
299	172264	401949
300	172869	401448
301	173501	401006
302	174154	400613
303	174853	400322
304	175627	400199
305	176262	399758
306	176917	399360
307	177630	399091
308	178385	398914
309	179079	398596
310	179829	398400
311	180594	398233
312	181284	397899
313	182017	397655
314	182766	397445
315	183505	397208
316	184184	396839
317	184953	396661
318	185704	396440
319	186363	396021
320	187024	395606
321	187776	395379
322	188518	395129
323	189370	395106
324	190310	395259
325	191030	394951
326	191999	395155
327	192723	394848
328	193553	394754
329	194317	394523
330	195039	394203
331	195830	394020
332	196611	393813
333	197554	393926
334	198466	393970
335	199364	393981
336	200266	393996
337	200968	393613
338	201834	393546
339	202547	393179
340	203252	392795
341	203973	392440
342	204717	392126
343	205487	391859
344	206232	391542
345	206974	391217
346	207679	390820
347	208380	390413
348	209140	390116
349	209852	389725
350	210612	389423
351	211312	389007
352	212039	388639
353	212743	388226
354	213367	387667
355	214054	387223
356	214709	386718
357	215478	386417
358	216271	386156
359	217043	385854
360	217963	385813
361	218695	385435
362	219676	385492
363	220380	385060
364	221286	384978
365	222152	384821
366	222939	384525
367	223755	384275
368	224483	383872
369	225267	383562
370	225993	383153
371	226653	382629
372	227329	382132
373	227953	381548
374	228644	381074
375	229320	380574
376	229954	380004
377	230607	379465
378	231237	378888
379	231872	378318
380	232527	377781
381	233164	377213
382	233815	376669
383	234412	376037
384	235084	375525
385	235727	374965
386	236367	374401
387	237015	373849
388	237698	373351
389	238312	372745
390	238987	372232
391	239656	371712
392	240243	371062
393	240924	370558
394	241555	369977
395	242192	369404
396	242843	368853
397	243446	368228
398	244046	367598
399	244670	367005
400	245269	366375
401	245880	365763
402	246491	365149
403	247158	364620
404	247852	364129
405	248457	363506
406	249072	362899
407	249727	362349
408	250342	361741
409	251020	361224
410	251654	360644
411	252312	360096
412	252985	359569
413	253575	358925
414	254243	358391
415	254828	357739
416	255447	357136
417	256056	356519
418	256686	355930
419	257350	355388
420	257992	354816
421	258620	354223
422	259289	353687
423	259914	353090
424	260531	352484
425	261137	351860
426	261782	351291
427	262544	350876
428	263340	350507
429	264040	350006
430	265674	350739
431	266750	350727
432	267836	350723
433	268655	350366
434	269425	349943
435	270154	349465
436	270930	349047
437	271636	348538
438	272479	348202
439	273194	347701
440	273944	347245
441	274865	347001
442	275685	346628
443	276564	346328
444	277317	345867
445	277918	345216
446	278704	344795
447	279449	344322
448	280178	343826
449	280903	343326
450	281642	342841
451	282372	342345
452	283092	341835
453	283758	341259
454	284494	340768
455	285227	340271
456	285963	339776
457	286694	339276
458	287433	338783
459	288237	338365
460	289064	337973
461	289884	337570
462	290751	337221
463	291570	336814
464	292272	336270
465	292977	335730
466	293738	335251
467	294517	334793
468	295213	334239
469	295894	333667
470	296572	333092
471	297355	332635
472	298082	332113
473	298784	331562
474	299543	331073
475	300291	330572
476	301240	330291
477	302070	329875
478	302895	329454
479	303898	329223
480	304597	328661
481	305238	328036
482	305825	327353
483	306442	326703
484	307046	326039
485	307622	325345
486	308273	324731
487	308848	324038
488	309517	323442
489	310133	322792
490	310704	322095
491	311301	321425
492	311924	320782
493	312550	320142
494	313183	319510
495	313769	318829
496	314364	318159
497	314951	317480
498	315484	316749
499	316056	316056
500	316650	315386
501	317272	314744
502	317839	314048
503	318442	313387
504	318988	312672
505	319608	312028
506	320206	311364
507	320828	310724
508	321408	310042
509	321970	309344
510	322563	308676
511	323134	307987
512	323694	307289
513	324296	306630
514	324888	305963
515	325517	305330
516	326060	304617
517	326679	303976
518	327236	303277
519	327817	302601
520	328397	301923
521	329023	301289
522	329650	300656
523	330203	299955
524	330895	299381
525	331457	298689
526	332037	298014
527	332648	297367
528	333270	296730
529	333852	296057
530	334470	295417
531	335012	294710
532	335612	294054
533	336236	293420
534	336819	292749
535	337379	292059
536	338014	291435
537	338648	290810
538	339286	290187
